FLDNAME,Text
Q1SCORE,Word Recall Task
Q2SCORE,Commands (receptive speech)
Q3SCORE,Constructional Praxis (geometric figures)
Q4SCORE,Delayed Word Recall
Q5SCORE,Naming Task
Q6SCORE,Ideational Praxis (sequence of familiar actions)
Q7SCORE,Orientation (date/place etc)
Q8SCORE,Word Recognition
Q9SCORE,Remembering Test Instructions
Q10SCORE,Comprehension (of examiner's speech)
Q11SCORE,Word Finding Difficulty (in subject's speech)
Q12SCORE,Spoke Language Ability (clarity of communication)
Q13SCORE,Number Cancellation
